stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring
287560,30,10,6.21042,0.138477,0.0335634,0.0213741,-0.692124,-0.493666,0.309874,0.514207,0.361709,0.022400599999999996,0.021258700000000002,0.0254151,0.018763,0.017599599999999996,-21
287560,30,30,18.5648,0.285373,0.0336779,0.022128400000000003,-0.689565,-0.49161499999999997,0.308181,0.512053,0.36094499999999996,0.013405000000000002,0.00834095,0.014914199999999999,0.00622497,0.00940697,-21
287560,50,2,1.28958,0.13386800000000001,0.0556234,0.0281013,-0.710986,-0.518456,0.339863,0.537824,0.35175500000000004,0.126931,0.128915,0.1434,0.114473,0.149255,-21
287560,50,10,6.234369999999999,0.20089500000000002,0.05620019999999999,0.029125799999999997,-0.694431,-0.495601,0.311103,0.515907,0.363021,0.0264632,0.023952099999999997,0.029696800000000002,0.0223677,0.0181025,-21
287560,50,30,18.5852,0.286223,0.0556979,0.028107999999999998,-0.690503,-0.49229700000000004,0.308661,0.51274,0.36139899999999997,0.014336600000000001,0.00989636,0.0160405,0.00804182,0.0101863,-21
139408,30,2,1.41883,0.158248,0.0512242,0.028789299999999997,-0.718923,-0.506391,0.35283000000000003,0.5313829999999999,0.34110100000000004,0.117602,0.111953,0.136914,0.0995402,0.133924,-22
139408,30,10,6.89231,0.203438,0.051302,0.028539,-0.704804,-0.488288,0.32818600000000003,0.513645,0.35126199999999996,0.025350499999999998,0.023434,0.029001799999999998,0.0219361,0.0179795,-22
139408,30,30,20.5717,0.44048000000000004,0.050591699999999996,0.027550099999999998,-0.701336,-0.485831,0.325842,0.51108,0.350245,0.012711100000000001,0.00822238,0.0147816,0.0069958,0.0101235,-22
139408,50,2,1.45173,0.178795,0.08542380000000001,0.0395814,-0.729593,-0.519885,0.370236,0.54467,0.334573,0.152634,0.151363,0.17816600000000002,0.13222,0.178856,-22
139408,50,10,6.924689999999999,0.22852199999999998,0.0847964,0.0371895,-0.708689,-0.491174,0.330623,0.516722,0.352518,0.029591200000000005,0.0274155,0.0339911,0.0260649,0.0198203,-22
139408,50,30,20.6071,0.46258999999999995,0.08540539999999999,0.037536,-0.702512,-0.486486,0.32648699999999997,0.5118149999999999,0.350696,0.014244299999999998,0.0109585,0.016411900000000004,0.00952564,0.0111866,-22
139728,30,2,1.52122,0.178842,0.05790549999999999,0.031685700000000004,-0.6942510000000001,-0.52398,0.3266,0.531565,0.360066,0.12113399999999999,0.124174,0.126252,0.104244,0.129632,-23
139728,30,10,7.376289999999999,0.186576,0.057951699999999995,0.0299043,-0.6793319999999999,-0.501563,0.302296,0.511789,0.36680999999999997,0.0265974,0.0246923,0.0321452,0.022222299999999997,0.0209424,-23
139728,30,30,22.0146,0.38454699999999997,0.057670400000000004,0.0296116,-0.675585,-0.49850200000000006,0.29972,0.508571,0.365797,0.017482499999999998,0.010349700000000002,0.022149000000000002,0.00865115,0.016128,-23
139728,50,2,1.5611700000000002,0.21783899999999998,0.0963701,0.039701,-0.707654,-0.541309,0.345982,0.5478689999999999,0.355112,0.149978,0.155475,0.171309,0.13119,0.177217,-23
139728,50,10,7.41453,0.230006,0.0969198,0.0381729,-0.682555,-0.504178,0.303874,0.5142909999999999,0.368568,0.032736900000000006,0.030360900000000003,0.0379989,0.0278508,0.0236092,-23
139728,50,30,22.0518,0.372176,0.0965309,0.037784899999999996,-0.6767810000000001,-0.499511,0.300274,0.509471,0.366546,0.018625,0.0112405,0.023174599999999997,0.010049899999999999,0.0162709,-23
140048,30,2,1.61812,0.21374200000000002,0.0808195,0.03733909999999999,-0.733634,-0.513926,0.372946,0.543556,0.331059,0.12403299999999999,0.13008599999999998,0.162805,0.1174,0.155737,-23
140048,30,10,7.772139999999999,0.228256,0.08121089999999999,0.038097900000000004,-0.711255,-0.489084,0.33719299999999996,0.518199,0.344947,0.029951099999999998,0.027136,0.039035900000000005,0.026128,0.038762,-23
140048,30,30,23.1517,0.405028,0.08065989999999999,0.038636199999999996,-0.706458,-0.485124,0.333464,0.514143,0.343976,0.0113101,0.00958266,0.012459600000000001,0.00858663,0.007757899999999999,-23
140048,50,2,1.66708,0.228958,0.133952,0.047661699999999994,-0.747853,-0.533169,0.398902,0.560947,0.321173,0.182877,0.181841,0.21070999999999998,0.157059,0.21111999999999997,-23
140048,50,10,7.821389999999999,0.285381,0.133742,0.047461699999999996,-0.7162890000000001,-0.49247799999999997,0.339891,0.521908,0.346967,0.035183099999999995,0.03351269999999999,0.0413256,0.031745999999999996,0.0308603,-23
140048,50,30,23.215999999999998,0.48653199999999996,0.134529,0.051096499999999996,-0.708062,-0.486364,0.334515,0.515497,0.344413,0.0218729,0.0117762,0.0150309,0.0119416,0.0200996,-23
148424,30,2,1.86401,0.23124899999999998,0.10896700000000001,0.046337199999999995,-0.725205,-0.528109,0.35978499999999997,0.545888,0.347641,0.140408,0.147947,0.168627,0.13003199999999998,0.15759700000000001,-25
148424,30,10,8.888739999999999,0.31514899999999996,0.10828499999999999,0.044744400000000004,-0.699682,-0.49431400000000003,0.320069,0.513868,0.36006,0.0279558,0.026314499999999998,0.0333157,0.025671299999999998,0.0215165,-25
148424,30,30,26.4418,0.649979,0.10931099999999999,0.0464341,-0.6943,-0.490045,0.316803,0.509612,0.357929,0.013440899999999999,0.010991200000000001,0.01356,0.00965525,0.00806515,-25
148424,50,2,1.9357799999999998,0.34254,0.18298499999999998,0.0618779,-0.744168,-0.555984,0.397713,0.5717399999999999,0.330698,0.192501,0.207994,0.241146,0.172014,0.235312,-25
148424,50,10,8.95991,0.363626,0.182238,0.0592399,-0.70622,-0.499568,0.324709,0.519457,0.361622,0.0396626,0.0389323,0.042602499999999995,0.035813199999999996,0.0279327,-25
148424,50,30,26.5191,0.666572,0.182828,0.05916230000000001,-0.6962079999999999,-0.491422,0.317798,0.511011,0.358821,0.014510499999999999,0.0125311,0.015002200000000002,0.010874700000000001,0.00924192,-25
17288,30,2,1.87621,0.23867,0.10983599999999999,0.0453403,-0.7591899999999999,-0.50313,0.39164,0.549921,0.32076,0.153221,0.137401,0.169903,0.12672,0.179537,-25
17288,30,10,8.94236,0.323092,0.109517,0.04808869999999999,-0.7348680000000001,-0.476613,0.351058,0.522079,0.338344,0.03458869999999999,0.027527600000000003,0.0387103,0.026397000000000004,0.023281299999999998,-25
