stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
270544,50,2,1.01219,0.0981512,0.0243112,0.0164712,-0.738887,-0.480858,0.333811,0.528945,0.356989,0.111655,0.0969868,0.114266,0.0975466,0.11083,-18,-0.734375,-0.484375,0.328125,0.53125,0.359375,81,97,21,34,23
270544,50,10,4.96145,0.0983856,0.0241917,0.0172007,-0.727977,-0.470741,0.317075,0.518258,0.363385,0.0241615,0.0207097,0.0253806,0.0201806,0.016625,-18,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
270544,50,30,14.8333,0.144223,0.0241728,0.0167012,-0.726131,-0.469337,0.315887,0.516835,0.362746,0.0122049,0.00893962,0.0138882,0.00640262,0.00888928,-18,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
270800,30,2,1.04589,0.0742098,0.0168878,0.0144324,-0.729404,-0.47943,0.335431,0.522592,0.35081,0.087716,0.0817644,0.0992437,0.0812307,0.0965852,-19,-0.734375,-0.484375,0.34375,0.515625,0.359375,81,97,22,33,23
270800,30,10,5.1594,0.1174,0.0167011,0.0139501,-0.723309,-0.473309,0.325019,0.51605,0.355548,0.0210333,0.0181589,0.0210073,0.0176749,0.0145311,-19,-0.734375,-0.46875,0.328125,0.515625,0.359375,81,98,21,33,23
270800,30,30,15.4438,0.259544,0.0170692,0.0140984,-0.721711,-0.472134,0.323801,0.514924,0.355121,0.0105328,0.00881186,0.00900758,0.00593454,0.00746305,-19,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
270800,50,2,1.0579,0.107928,0.028405,0.0190743,-0.734574,-0.485981,0.345725,0.531164,0.343665,0.120037,0.105993,0.128127,0.100879,0.135085,-19,-0.734375,-0.484375,0.34375,0.53125,0.34375,81,97,22,34,22
270800,50,10,5.16858,0.113357,0.0281793,0.0186773,-0.724815,-0.474592,0.325953,0.51742,0.356035,0.0250937,0.0236917,0.0273909,0.0220528,0.01759,-19,-0.734375,-0.46875,0.328125,0.515625,0.359375,81,98,21,33,23
270800,50,30,15.4526,0.255455,0.0281292,0.0189405,-0.722217,-0.472505,0.324081,0.515291,0.35535,0.0118623,0.00986278,0.0107827,0.00780737,0.00792165,-19,-0.71875,-0.46875,0.3125,0.515625,0.359375,82,98,20,33,23
271064,30,2,1.09808,0.0852391,0.0205505,0.0150264,-0.731055,-0.480924,0.340422,0.526075,0.345482,0.0948347,0.0860706,0.106703,0.082799,0.106802,-19,-0.734375,-0.484375,0.34375,0.53125,0.34375,81,97,22,34,22
271064,30,10,5.40463,0.133734,0.0203874,0.0149311,-0.724256,-0.473744,0.328233,0.51721,0.352558,0.018235,0.0158526,0.0200489,0.0162266,0.014531,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
271064,30,30,16.17,0.268039,0.0204592,0.0149903,-0.7223,-0.472478,0.326953,0.515652,0.352172,0.00754097,0.00568309,0.0101611,0.00663025,0.00835939,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
271064,50,2,1.11093,0.108675,0.0342927,0.0206722,-0.736503,-0.488172,0.347178,0.531612,0.345885,0.111541,0.106456,0.126494,0.10304,0.117779,-19,-0.734375,-0.484375,0.34375,0.53125,0.34375,81,97,22,34,22
271064,50,10,5.41633,0.127647,0.0340999,0.0198856,-0.726197,-0.475301,0.329573,0.51881,0.353115,0.0249964,0.022924,0.0285786,0.0231217,0.017925,-19,-0.734375,-0.46875,0.328125,0.515625,0.359375,81,98,21,33,23
271064,50,30,16.1825,0.280589,0.0342406,0.0210342,-0.722919,-0.472934,0.32729,0.516164,0.352399,0.00933158,0.00765097,0.0116518,0.00807747,0.00913625,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
