stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c
8456,30,10,6.649880,0.188328,0.044276,0.025568,-0.681249,-0.501523,0.307134,0.513697,0.361941,0.022061,0.022936,0.024191,0.021003,0.014919,-22,-0.687500,-0.500000,0.312500,0.515625,0.359375
8456,30,30,19.863900,0.435026,0.044235,0.026491,-0.677821,-0.498689,0.304630,0.510898,0.360982,0.011883,0.008924,0.010738,0.007207,0.006846,-22,-0.671875,-0.500000,0.296875,0.515625,0.359375
8456,50,2,1.398500,0.193183,0.073855,0.033447,-0.702763,-0.534768,0.344455,0.544267,0.348809,0.139616,0.151322,0.162288,0.127148,0.168654,-22,-0.703125,-0.531250,0.343750,0.546875,0.343750
8456,50,10,6.681410,0.235858,0.073597,0.035842,-0.683571,-0.503150,0.308391,0.515558,0.362772,0.028965,0.027852,0.033316,0.025867,0.027891,-22,-0.687500,-0.500000,0.312500,0.515625,0.359375
8456,50,30,19.896100,0.463455,0.074100,0.034196,-0.678762,-0.499551,0.305087,0.511655,0.361571,0.012647,0.010186,0.011570,0.008456,0.007472,-22,-0.671875,-0.500000,0.296875,0.515625,0.359375
16456,30,2,1.349770,0.112530,0.040873,0.023393,-0.723451,-0.499868,0.354725,0.530394,0.338200,0.102646,0.101143,0.128574,0.093861,0.117564,-22,-0.718750,-0.500000,0.359375,0.531250,0.328125
16456,30,10,6.590820,0.190641,0.040662,0.022485,-0.710959,-0.484213,0.334781,0.514730,0.345660,0.024891,0.021140,0.030373,0.018995,0.019033,-22,-0.703125,-0.484375,0.328125,0.515625,0.343750
16456,30,30,19.681600,0.458192,0.041173,0.024050,-0.708130,-0.482073,0.333141,0.512584,0.344478,0.016937,0.011329,0.021794,0.006585,0.014213,-22,-0.703125,-0.484375,0.328125,0.515625,0.343750
16456,50,2,1.377180,0.148152,0.068460,0.029812,-0.734085,-0.512248,0.370893,0.540932,0.334509,0.132940,0.131593,0.161419,0.114902,0.159799,-22,-0.734375,-0.515625,0.375000,0.546875,0.328125
16456,50,10,6.615420,0.211013,0.068170,0.030390,-0.714303,-0.487006,0.337397,0.517599,0.346312,0.030807,0.027536,0.037014,0.025248,0.022289,-22,-0.718750,-0.484375,0.343750,0.515625,0.343750
16456,50,30,19.711400,0.477446,0.067847,0.030510,-0.709195,-0.482749,0.333679,0.513324,0.344942,0.018094,0.012402,0.022842,0.008429,0.014669,-22,-0.703125,-0.484375,0.328125,0.515625,0.343750
164880,30,2,1.257680,0.103271,0.030437,0.018631,-0.732777,-0.488476,0.346670,0.528995,0.345589,0.096136,0.093188,0.114818,0.089579,0.107568,-21,-0.734375,-0.484375,0.343750,0.531250,0.343750
164880,30,10,6.168770,0.154603,0.031049,0.019701,-0.722720,-0.476117,0.330521,0.516982,0.351334,0.020537,0.019758,0.023500,0.020273,0.014619,-21,-0.718750,-0.468750,0.328125,0.515625,0.343750
164880,30,30,18.445300,0.372547,0.030866,0.018970,-0.720241,-0.474183,0.328850,0.514985,0.350589,0.008246,0.006292,0.008773,0.006595,0.005358,-21,-0.718750,-0.468750,0.328125,0.515625,0.343750
164880,50,2,1.279840,0.168226,0.052374,0.027391,-0.745092,-0.498895,0.360768,0.541428,0.341792,0.122831,0.120381,0.146137,0.111350,0.142384,-21,-0.750000,-0.500000,0.359375,0.546875,0.343750
164880,50,10,6.188950,0.175912,0.051655,0.026098,-0.725497,-0.477634,0.332275,0.518835,0.352020,0.023895,0.021788,0.026398,0.021808,0.016223,-21,-0.718750,-0.484375,0.328125,0.515625,0.359375
164880,50,30,18.469000,0.380905,0.051807,0.026408,-0.720920,-0.474639,0.329141,0.515468,0.350951,0.009564,0.007596,0.010336,0.007922,0.006468,-21,-0.718750,-0.468750,0.328125,0.515625,0.343750
172632,30,2,1.184230,0.120968,0.026964,0.017669,-0.770934,-0.456577,0.360963,0.524924,0.341624,0.093624,0.088409,0.117400,0.086439,0.104027,-21,-0.765625,-0.453125,0.359375,0.515625,0.343750
172632,30,10,5.807040,0.134813,0.027003,0.017757,-0.759787,-0.448181,0.346080,0.513974,0.347915,0.023463,0.018819,0.024889,0.018269,0.016893,-21,-0.750000,-0.453125,0.343750,0.515625,0.343750
172632,30,30,17.369300,0.280780,0.027040,0.018546,-0.757475,-0.446974,0.344826,0.512337,0.347286,0.012469,0.009479,0.014115,0.006821,0.010359,-21,-0.750000,-0.453125,0.343750,0.515625,0.343750
172632,50,2,1.201340,0.123701,0.045085,0.024073,-0.781235,-0.465354,0.376586,0.533619,0.336384,0.127747,0.107716,0.154569,0.106949,0.145554,-21,-0.781250,-0.468750,0.375000,0.531250,0.343750
172632,50,10,5.825550,0.178174,0.045219,0.024472,-0.762313,-0.449720,0.347904,0.515529,0.348600,0.027354,0.020802,0.028763,0.021071,0.018039,-21,-0.765625,-0.453125,0.343750,0.515625,0.359375
172632,50,30,17.389300,0.299247,0.045021,0.024270,-0.758162,-0.447319,0.345091,0.512757,0.347633,0.013724,0.010205,0.015080,0.007970,0.010656,-21,-0.750000,-0.453125,0.343750,0.515625,0.343750
172680,30,2,1.122350,0.096642,0.020308,0.014743,-0.749536,-0.467852,0.351675,0.525097,0.340616,0.090760,0.083260,0.102042,0.081655,0.096060,-20,-0.750000,-0.468750,0.343750,0.531250,0.343750
172680,30,10,5.528120,0.097832,0.020529,0.015354,-0.742722,-0.461234,0.339740,0.517297,0.346918,0.023473,0.017433,0.025031,0.017312,0.016411,-20,-0.750000,-0.453125,0.343750,0.515625,0.343750
172680,30,30,16.548400,0.221306,0.020561,0.015019,-0.741040,-0.460045,0.338762,0.515958,0.346365,0.014906,0.009378,0.015266,0.006467,0.010962,-20,-0.734375,-0.468750,0.343750,0.515625,0.343750
172680,50,2,1.136590,0.146506,0.034176,0.019828,-0.757182,-0.473892,0.361314,0.531708,0.338052,0.114974,0.102689,0.125841,0.097355,0.127355,-20,-0.765625,-0.468750,0.359375,0.531250,0.343750
172680,50,10,5.543130,0.123292,0.034028,0.019846,-0.744435,-0.462379,0.340960,0.518613,0.347242,0.027253,0.023203,0.032327,0.022204,0.024264,-20,-0.750000,-0.453125,0.343750,0.515625,0.343750
172680,50,30,16.563000,0.228952,0.033933,0.019481,-0.741650,-0.460428,0.339144,0.516395,0.346539,0.015330,0.010130,0.015886,0.007273,0.011194,-20,-0.734375,-0.468750,0.343750,0.515625,0.343750
172512,30,2,1.046260,0.077149,0.016967,0.014063,-0.750892,-0.465920,0.351881,0.525128,0.339803,0.093316,0.084049,0.108453,0.084710,0.100105,-19,-0.750000,-0.468750,0.343750,0.531250,0.343750
172512,30,10,5.163220,0.106049,0.016947,0.013675,-0.744494,-0.460328,0.340595,0.518307,0.345919,0.024502,0.019394,0.025746,0.018653,0.016870,-19,-0.750000,-0.453125,0.343750,0.515625,0.343750
172512,30,30,15.456400,0.232365,0.016996,0.014151,-0.742957,-0.459063,0.339541,0.517143,0.345337,0.015946,0.010627,0.016211,0.005939,0.010946,-19,-0.750000,-0.453125,0.343750,0.515625,0.343750
172512,50,2,1.055880,0.081784,0.028375,0.018366,-0.757104,-0.471172,0.360725,0.530821,0.336729,0.113389,0.101733,0.125819,0.102387,0.126650,-19,-0.765625,-0.468750,0.359375,0.531250,0.343750
172512,50,10,5.175090,0.128177,0.028094,0.017916,-0.746268,-0.461303,0.341501,0.519709,0.346362,0.027144,0.020673,0.028188,0.019654,0.018130,-19,-0.750000,-0.453125,0.343750,0.515625,0.343750
172512,50,30,15.468400,0.245002,0.028241,0.019161,-0.743549,-0.459404,0.339818,0.517498,0.345637,0.016512,0.010675,0.016876,0.006635,0.011146,-19,-0.750000,-0.453125,0.343750,0.515625,0.343750
172552,30,2,1.005430,0.062990,0.014336,0.012826,-0.741420,-0.461069,0.322186,0.511461,0.368842,0.093521,0.085216,0.098945,0.083634,0.095639,-19,-0.750000,-0.468750,0.328125,0.515625,0.375000
172552,30,10,4.973120,0.091165,0.014717,0.013387,-0.737098,-0.456837,0.314343,0.505768,0.373824,0.028524,0.019393,0.029296,0.019145,0.022800,-19,-0.734375,-0.453125,0.312500,0.500000,0.375000
